index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,35.04,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,5.43,%,manual
4,Foreign ownership,Sở hữu nước ngoài,0.82,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,105000000,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,968372926769,VND,pdf
7,Total assets,Tổng tài sản,2030455684703,VND,pdf
8,Selling expenses,Chi phí bán hàng,2102662032,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,8126794348,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,null,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,20023032551,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,29933018047,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,4519857651,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,920422499112,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,9554537820,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,14677443873,VND,pdf
17,Production cost,Tổng chi phí sản xuất,28819773981,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,23837530515,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,1566065164135,VND,pdf
23,Market value of equity,Vốn hóa thị trường,1842750000000,VND,yahoo
24,Total liabilities,Nợ phải trả,464390520568,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-340034023864,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,14299570164,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-65478930610,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,43142759357,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,null,VND,pdf
30,Current assets,Tài sản ngắn hạn,1381440371880,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,349036172568,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,26.01,%,computed
33,Total inventory,Hàng tồn kho,214572262534,VND,pdf
34,Divident payment,Cổ tức đã trả,null,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,227,VND,pdf
36,Number of employees,Số lượng nhân viên,17,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,588466780,VND,pdf
38,Firm age,Tuổi công ty,12,years,computed
