index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,289806316,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,,VND,pdf
7,Total assets,Tổng tài sản,10731725909883,VND,pdf
8,Selling expenses,Chi phí bán hàng,709149704725,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,188886494363,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,10212664088,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,528528719902,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,10306674624060,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,10306674624060,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,211744323476,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,505435759847,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,6296260363968,VND,pdf
23,Market value of equity,Vốn hóa thị trường,14864614241785.062,VND,yahoo
24,Total liabilities,Nợ phải trả,4435465545915,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,218907423413,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,108971726240,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-1351419046029,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,769192809384,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,989807999997,VND,pdf
30,Current assets,Tài sản ngắn hạn,4182943060802,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,3438073680433,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0,%,computed
33,Total inventory,Hàng tồn kho,560594698532,VND,pdf
34,Divident payment,Cổ tức đã trả,335265451270,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,2008.77,VND,pdf
36,Number of employees,Số lượng nhân viên,2102,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,52020741510,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
