index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,34,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,25,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,7675465855,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,,VND,pdf
7,Total assets,Tổng tài sản,224489707553981,VND,pdf
8,Selling expenses,Chi phí bán hàng,2337308685264,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,1545516022772,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,184215978466,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,6915671331197,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,13267005585330,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,101168900860222,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,82533470179698,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang, 3356842753839,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,11426590927560,VND,pdf
17,Production cost,Tổng chi phí sản xuất,129179016479274,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,12020023621271,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,114647457983699,VND,pdf
23,Market value of equity,Vốn hóa thị trường,159614805391334.78,VND,yahoo
24,Total liabilities,Nợ phải trả,109842249570282,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,6608320655215,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-35495026797327,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-29788138252448,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,6887646139852,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,27080443256096,VND,pdf
30,Current assets,Tài sản ngắn hạn,86674276272995,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,75225243262689,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-16,%,computed
33,Total inventory,Hàng tồn kho,46091222189472,VND,pdf
34,Divident payment,Cổ tức đã trả,-4971010891,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,1751,VND,pdf
36,Number of employees,Số lượng nhân viên,32780,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,67244150975048,VND,pdf
38,Firm age,Tuổi công ty,31,years,computed
