index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,,%,manual
3,Institutional ownership,Sở hữu tổ chức,,%,manual
4,Foreign ownership,Sở hữu nước ngoài,,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1282562372,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,,VND,pdf
7,Total assets,Tổng tài sản,21802379611074,VND,pdf
8,Selling expenses,Chi phí bán hàng,2388495253345,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,331851812074,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,864475820161,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,5204542870332,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,1719733003292,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,2441708768756,VND,pdf
17,Production cost,Tổng chi phí sản xuất,2164800458099,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,,VND,pdf
19,Product innovation,Đổi mới sản phẩm,,binary,manual
20,Process innovation,Đổi mới quy trình,,binary,manual
21,Net Income,Lợi nhuận sau thuế,4601706892979,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,17630182852080,VND,pdf
23,Market value of equity,Vốn hóa thị trường,102839618513927.75,VND,yahoo
24,Total liabilities,Nợ phải trả,4172196758994,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,1238545964579,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,97863350542,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,935615776462,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,987216978696,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,51602316000,VND,pdf
30,Current assets,Tài sản ngắn hạn,16086281272781,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,3962482641588,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,,%,computed
33,Total inventory,Hàng tồn kho,382893733879,VND,pdf
34,Divident payment,Cổ tức đã trả,3527033597675,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,7175.75,VND,pdf
36,Number of employees,Số lượng nhân viên,774,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,649409598012,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
