index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,11.44%,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,337905217,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,38232401184050,VND,pdf
7,Total assets,Tổng tài sản,17207730777685,VND,pdf
8,Selling expenses,Chi phí bán hàng,3207574691174,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,795749355922,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,608688570597,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,2652129250669,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,22351661272806,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,249862078812,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,1310473955602,VND,pdf
17,Production cost,Tổng chi phí sản xuất,27066547187358,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,2112916282946,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,11255306630522,VND,pdf
23,Market value of equity,Vốn hóa thị trường,32033995346191.72,VND,yahoo
24,Total liabilities,Nợ phải trả,5952424147163,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,83185174755,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-90406299690,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-211036976684,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,1122712392130,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,null,VND,pdf
30,Current assets,Tài sản ngắn hạn,15692597267632,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,5941881733413,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.1538,%,computed
33,Total inventory,Hàng tồn kho,13015170477311,VND,pdf
34,Divident payment,Cổ tức đã trả,-671681829760,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,5713,VND,pdf
36,Number of employees,Số lượng nhân viên,8969,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,248430247930,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
