index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,17.7,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,21.14,%,manual
4,Foreign ownership,Sở hữu nước ngoài,5.09,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,620982309,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,31650660956650.0,VND,pdf
7,Total assets,Tổng tài sản,17365305645644,VND,pdf
8,Selling expenses,Chi phí bán hàng,2476864155543,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,406967911274,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,186939003467,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,30673160728780,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,96130196549,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,25751153670467,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,1908865750638,VND,pdf
17,Production cost,Tổng chi phí sản xuất,30673160728780,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,30062343902,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,10780166372421,VND,pdf
23,Market value of equity,Vốn hóa thị trường,11757409784557.957,VND,yahoo
24,Total liabilities,Nợ phải trả,6585139273223,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,1865627170231,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,373766505881,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-349760505150,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,596862912861,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,0,VND,pdf
30,Current assets,Tài sản ngắn hạn,11274839904924,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,6568894350227,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.1399,%,computed
33,Total inventory,Hàng tồn kho,7628606120691,VND,pdf
34,Divident payment,Cổ tức đã trả,5531000,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,47,VND,pdf
36,Number of employees,Số lượng nhân viên,7402,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,4832642501649,VND,pdf
38,Firm age,Tuổi công ty,22,years,computed
