index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,35,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,23,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,7675465855,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,141409274460632.0,VND,pdf
7,Total assets,Tổng tài sản,170335521637132,VND,pdf
8,Selling expenses,Chi phí bán hàng,2665806087302,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,1019444279447,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,633761976329,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,121607079680688
,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,9794030627309,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,98655446509628,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,98655446509628,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,3371506019747,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,12103510397646,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,8444429054516,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,96112939615783,VND,pdf
23,Market value of equity,Vốn hóa thị trường,104665440751610.14,VND,yahoo
24,Total liabilities,Nợ phải trả,74222582021349,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,12277636676507,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,17887504647036,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-24626212744553,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,8324588920227,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,11151651204402,VND,pdf
30,Current assets,Tài sản ngắn hạn,80514710854456,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,62385392809685,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-5,%,computed
33,Total inventory,Hàng tồn kho,34491111096123,VND,pdf
34,Divident payment,Cổ tức đã trả,2261459543241,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,1452,VND,pdf
36,Number of employees,Số lượng nhân viên,28535,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,70199153681536,VND,pdf
38,Firm age,Tuổi công ty,30,years,computed
