index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,45.7,%,manual
4,Foreign ownership,Sở hữu nước ngoài,17.6,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,289806316,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,10061274326646.0,VND,pdf
7,Total assets,Tổng tài sản,10868362344022,VND,pdf
8,Selling expenses,Chi phí bán hàng,902844796015,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,229201442513,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,8067397072,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,212809185004,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,193825938726,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,8665031256784,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,253707003990,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,74874379991,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,6630873224649,VND,pdf
23,Market value of equity,Vốn hóa thị trường,17342049571397.266,VND,yahoo
24,Total liabilities,Nợ phải trả,4237489119373,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,158019729025,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,82197953650,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,472702127918,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,1295109444030,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,494903999989,VND,pdf
30,Current assets,Tài sản ngắn hạn,4166456771102,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,3731869027720,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-0.3368,%,computed
33,Total inventory,Hàng tồn kho,113194569884,VND,pdf
34,Divident payment,Cổ tức đã trả,20082050,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,null,VND,pdf
36,Number of employees,Số lượng nhân viên,2013,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,327563044177,VND,pdf
38,Firm age,Tuổi công ty,30,years,computed
