index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,35.34%,%,BCTN 2024 (tr. 29; 38-40)
2,State ownership,Sở hữu nhà nước,0%,%,BCTN 2024 (tr. 29)
3,Institutional ownership,Sở hữu tổ chức,12.91%,%,BCTN 2024 (tr. 29)
4,Foreign ownership,Sở hữu nước ngoài,0.65%,%,BCTN 2024 (tr. 29)
5,Total share outstanding,Tổng số cổ phiếu lưu hành,215249836,shares,BCTC 2024 (tr. 7; 37)
6,Total sales revenue and Net sales revenue,Doanh thu thuần,1192725945703,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
7,Total assets,Tổng tài sản,4858702923298,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
8,Selling expenses,Chi phí bán hàng,3613940537,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,11395213200,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
10,Value of intangible assets,Tài sản cố định vô hình,0,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
11,Manufacturing overhead,Chi phí sản xuất chung,447722095106,VND,Tính toán từ BCTC 2024 (TM 6.8 - tr. 39)
12,Net operating income,Lợi nhuận thuần từ HĐKD,51810251013,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
13,Consumption of raw material,Chi phí nguyên vật liệu,974134735,VND,BCTC 2024 (TM 6.8 - tr. 39)
14,Merchandise purchase of the year,Mua hàng hóa trong năm,1727809507244,VND,Tính toán từ BCTC 2024 (tr. 7; 9; 38)
15,Work-in-progess goods purchase,Chi phí SXKD dở dang,1524339205188,VND,BCTC 2024 (TM 5.7 - tr. 29)
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,396456404800,VND,BCTC 2024 (TM 6.8 - tr. 39)
17,Production cost,Tổng chi phí sản xuất theo yếu tố,458705123432,VND,BCTC 2024 (TM 6.8 - tr. 39)
18,R&D expenditure,Chi phí nghiên cứu phát triển,0,VND,BCTC 2024 (Không ghi nhận)
19,Product innovation,Đổi mới sản phẩm,1,binary,BCTN 2024 (tr. 4; 41)
20,Process innovation,Đổi mới quy trình,1,binary,BCTN 2024 (tr. 21; 40)
21,Net Income,Lợi nhuận sau thuế,33747100605,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
22,Total shareholders' equity,Vốn chủ sở hữu,2812691336629,VND,BCTC 2024 (Bảng CĐKT - tr. 8)
23,Market value of equity,Vốn hóa thị trường,1325938989760,VND,Giá chốt phiên 31/12/2024 (6.160đ)
24,Total liabilities,Nợ phải trả,2046011586669,VND,BCTC 2024 (Bảng CĐKT - tr. 8)
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-657481718759,VND,BCTC 2024 (Báo cáo LCTT - tr. 10)
26,Capital expenditure,Chi mua sắm TSCĐ,-15168755513,VND,BCTC 2024 (Báo cáo LCTT - tr. 10)
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,278643583976,VND,BCTC 2024 (Báo cáo LCTT - tr. 10)
28,Cash and cash equivalent,Tiền và tương đương tiền,464198442713,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
29,Long-term debt,Vay và nợ dài hạn,1004607237463,VND,BCTC 2024 (Bảng CĐKT - tr. 8)
30,Current assets,Tài sản ngắn hạn,4227992529494,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
31,Current liabiltiies,Nợ ngắn hạn,1041400435843,VND,BCTC 2024 (Bảng CĐKT - tr. 8)
32,Growth ratio,Tỷ lệ tăng trưởng doanh thu,9.45%,%,Tính toán từ BCTC 2024 (tr. 9)
33,Total inventory,Hàng tồn kho,1525313339923,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
34,Divident payment,Cổ tức đã trả,0,VND,BCTC 2024 (Báo cáo LCTT - tr. 11)
35,EPS,Lãi cơ bản trên cổ phiếu,146,VND,BCTC 2024 (Báo cáo KQKD - tr. 9)
36,Number of employees,Số lượng nhân viên,75,người,BCTC 2024 (TM 1.8 - tr. 13)
37,Net plant, property and equipment,Tài sản cố định hữu hình,934155684,VND,BCTC 2024 (Bảng CĐKT - tr. 7)
38,Firm age,Tuổi công ty,15,years,Thành lập năm 2009 (BCTN tr. 8)
