index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,75.56%,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,529400000,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,15924526874399.0,VND,pdf
7,Total assets,Tổng tài sản,14166860720016,VND,pdf
8,Selling expenses,Chi phí bán hàng,698294873644,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,652594258961,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,47207630472,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,4593146316328,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,6495993694524,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,803513719686,VND,pdf
17,Production cost,Tổng chi phí sản xuất,10161763907912,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,318816929387,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,4321080734535,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,10605448816520,VND,pdf
23,Market value of equity,Vốn hóa thị trường,null,VND,yahoo
24,Total liabilities,Nợ phải trả,3561411903496,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,5731609693298,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-146931424446,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-2384755648497,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,2125625291560,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,3607887032,VND,pdf
30,Current assets,Tài sản ngắn hạn,11624186590632,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,2874435985843,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,1.1061,%,computed
33,Total inventory,Hàng tồn kho,2282527702409,VND,pdf
34,Divident payment,Cổ tức đã trả,-948281198160,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,7701,VND,pdf
36,Number of employees,Số lượng nhân viên,1266,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,2159644948177,VND,pdf
38,Firm age,Tuổi công ty,11,years,computed
