index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,0,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,66.5,%,manual
4,Foreign ownership,Sở hữu nước ngoài,32.5,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1423724783,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,76189225000000,VND,pdf
7,Total assets,Tổng tài sản,141342815000000,VND,pdf
8,Selling expenses,Chi phí bán hàng,12511539000000,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,3854314000000,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,10746693000000,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,5222742000000,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,null,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,null,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,86180000000,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,4754384000000,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,36636739000000,VND,pdf
23,Market value of equity,Vốn hóa thị trường,133000000000000,VND,yahoo
24,Total liabilities,Nợ phải trả,104706076000000,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-3788852000000,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-4165321000000,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-26447259000000,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,13853100000000,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,39385199000000,VND,pdf
30,Current assets,Tài sản ngắn hạn,47674624000000,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,65320800000000,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-14.0,%,computed
33,Total inventory,Hàng tồn kho,14634281000000,VND,pdf
34,Divident payment,Cổ tức đã trả,1138980000000,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,2511,VND,pdf
36,Number of employees,Số lượng nhân viên,null,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,30616309000000,VND,pdf
38,Firm age,Tuổi công ty,18,years,computed
