company_code,year,1,5,6,7,8,9,10,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DCM,2020,10.0,,7716890477631.0,67941730594.0,369000315151.0,304406663012.0,55797572196.0,,,295586957.0,,,,-1402137444.0,,,-24341547506.0,716533804305.0,,,509995350873.0,,114665589805.0,,,834134886038.0,,661046074192.0,1203.0,3899631024527.0,9.0
DCM,2021,10.0,,10088157082401.0,,420401252844.0,,,,,1638158931515.0,,,-5587228520064.0,1187985397.0,478097275386.0,,,,,,,407413516846.0,,3486610542693.0,30.73,,-320018445600.0,,,,10.0
DCM,2022,10.0,,16380039770909.0,67976104177.0,4593146316328.0,4593146316328.0,47207630472.0,4593146316328.0,,10221097432231.0,,35672486604.0,10221097432231.0,3018455058084.0,10605448816520.0,,-38832768720.0,,,,,686975917653.0,11624186590632.0,,62.37,2282527702409.0,-720041502600.0,3073.0,1266.0,2159644948177.0,11.0
DCM,2023,10.0,529400000.0,15924526874399.0,67976104177.0,4593146316328.0,4593146316328.0,350407740981.0,,,10440.0,,,10538742407968.0,2044851345036.0,9963383234158.0,15375434510937.5,-33657130893.0,1254809583640.0,,-1469108624043.0,2284399788772.0,2964479875.0,451669148761.0,,-2.78,2160588161856.0,-1200069171000.0,1108892825082.0,1300.0,1249767699101.0,12.0
DCM,2024,10.0,529400000.0,13455585149640.0,16486331655016.0,1323302243676.0,1522063488191.0,123087763102.0,,,10447.0,,,10942100894031.0,1882513091925.0,10177176600982.0,18126074900781.25,-41802805639.0,,,,,870940623651.0,,,-15.5,,-800046114000.0,2394.0,1430.0,,13.0
EVG,2020,10.0,,768475502469.0,,24504383419.0,24504383419.0,45520000.0,,,721409221443.0,,9691718165.0,721409221443.0,61006514415.0,742968559740.0,,285945551309.0,213068269.0,,,24785963267.0,46029077746.0,397881756712.0,239916473563.0,,205634814355.0,,,,1521772300.0,11.0
EVG,2021,10.0,,702206170174.0,702206170174.0,28418489797.0,28418489797.0,,28418489797.0,,668595111160.0,,,668595111160.0,77236862683.0,1161824185833.0,,98758245571.0,160737532794.0,,,43142759357.0,354348000.0,1216028082240.0,347929976425.0,-8.62,214572262534.0,,,,528746454.0,12.0
EVG,2022,10.0,,809391545910.0,,31740106678.0,31740106678.0,,31740106678.0,,776705238567.0,,,776705238567.0,20853028147.0,,,,-212453034509.0,,-872274184154.0,6415540694.0,659890251.0,1793512540244.0,,15.26,1076713780.0,,,,,13.0
EVG,2023,10.0,,809391545910.0,,35029178255.0,35029178255.0,,,,67357793530.0,1079627272.0,,,65541068445.0,2256935536218.0,,671024309848.0,,,,,523377400000.0,1925558999887.0,147646909848.0,0.0,2126781959.0,,,,,14.0
EVG,2024,10.0,,815139721185.0,2959528044882.0,35087032191.0,35087032191.0,,35087032191.0,,11111691856.0,,,,2244738767572.0,,,,,,,,,1023212863.0,,0.71,16715520198.0,,,,690678624.0,15.0
HAG,2020,10.0,,3176645956.0,2069726229.0,-2022124320.0,-2022124320.0,521292702.0,,,-2970915613.0,,,-2970915613.0,-1255661344.0,10027795459.0,,7414461050.0,,,,,11809043645.0,6498604992.0,6498604992.0,,2347965565.0,,-1354.0,3313.0,,27.0
HAG,2021,10.0,,3189964886.0,6534440081.0,2025519335.0,-2022124320.0,122890961.0,,,-1590448139.0,,120959970.0,-1590448139.0,-1255661344.0,4673233340.0,,4467100553.0,,,,,,,,0.42,410031564.0,,,1565.0,,28.0
HAG,2022,10.0,,5197982826.0,6534440081.0,1349894514.0,-1512789999.0,261683353.0,,,-3937380869.0,,198224977.0,-3937380869.0,1124674840.0,5194743341.0,,14603644212.0,,,,,5385580725.0,1179502574.0,3341007157.0,62.95,1148037609.0,,,2754.0,,29.0
HAG,2023,10.0,1267399283.0,6442397199.0,4065442997.0,4690412815.0,4690412815.0,254140873.0,,,-5148941719.0,,25644136.0,-5148941719.0,1781685785.0,6677470105.0,16729670535600.0,14225785185.0,,,,,4515380905.0,12134729704.0,1669170708.0,23.94,928718695.0,,1794.0,1748.0,,30.0
HAG,2024,10.0,1267399283.0,6492569736.0,3585606944.0,,,,,,60141005.0,,,,1060121821.0,,15208791396000.0,2687479980.0,,,,,,2687479980.0,2687479980.0,0.78,694457742.0,,,1756.0,,31.0
HPG,2020,10.0,7675465855.0,91279041771826.0,,9030079639207.0,9030079639207.0,,,,214453522563.0,,,214453522563.0,21792442633285.0,59219786306111.0,135511758837584.31,291648082726.0,,,,298228.0,20316430635228.0,56747258197010.0,26984198187977.0,,26286822229202.0,,,,-38618068918610.0,28.0
HPG,2021,10.0,7675465855.0,150865359967200.0,,,,261519239336.0,,,1127956910057.0,,,70389153770946.0,442633285.0,90780625511439.0,204410713005290.06,87455796846810.0,,,,471375562130.0,996480970369.0,3650156741241.0,73459315876441.0,65.28,42134493932210.0,,,,,29.0
HPG,2022,10.0,7675465855.0,150865359967200.0,,,,,,,1864.0,,12103510397646.0,,33833829973987.0,96112939615783.0,104665440751610.14,222582021349.0,,,,8324588920227.0,11837189211664.0,80514710854456.0,62385392809685.0,0.0,34491111096123.0,,34478143197460.0,,,30.0
HPG,2023,10.0,7675465855.0,138855112131387.0,,7650762789307.0,7650762789307.0,,267005585330.0,,357563003.0,,,106015187198082.0,49599124109.0,114647457983699.0,162522172915656.75,109842249570282.0,,,,6887646139852.0,34617006307593.0,86674276272995.0,,-7.96,20212.0,,,,150075048.0,31.0
