company_code,year,index_id,index_name,value,unit,source
HPG,2024,33,Total inventory,20212.0,VND,pdf
HPG,2024,37,"Net plant, property and equipment",150075048.0,VND,pdf
HPG,2024,38,Firm age,32.0,years,yahoo
HSG,2020,1,Managerial ownership,10.0,%,yahoo
HSG,2020,6,Total sales revenue and Net sales revenue,28081303783088.0,VND,pdf
HSG,2020,9,General and administrative expenditure,1378928413328.0,VND,pdf
HSG,2020,10,Value of intangible assets,2275.0,VND,pdf
HSG,2020,14,Merchandise purchase of the year,790099771563.0,VND,pdf
HSG,2020,17,Production cost,22903482165423.0,VND,pdf
HSG,2020,21,Net Income,1153014017309.0,VND,pdf
HSG,2020,24,Total liabilities,983533510048.0,VND,pdf
HSG,2020,28,Cash and cash equivalent,767066.0,VND,pdf
HSG,2020,30,Current assets,9022315330402.0,VND,pdf
HSG,2020,33,Total inventory,5523844442.0,VND,pdf
HSG,2020,37,"Net plant, property and equipment",6185137.0,VND,pdf
HSG,2020,38,Firm age,19.0,years,yahoo
HSG,2021,1,Managerial ownership,10.0,%,yahoo
HSG,2021,6,Total sales revenue and Net sales revenue,48726522233736.0,VND,pdf
HSG,2021,8,Selling expenses,2221083074110.0,VND,pdf
HSG,2021,9,General and administrative expenditure,1378928413328.0,VND,pdf
HSG,2021,10,Value of intangible assets,88587.0,VND,pdf
HSG,2021,13,Consumption of raw material,42143228874.0,VND,pdf
HSG,2021,14,Merchandise purchase of the year,223855023517.0,VND,pdf
HSG,2021,21,Net Income,5633071186571.0,VND,pdf
HSG,2021,22,Total shareholders' equity,6590738511323.0,VND,pdf
HSG,2021,24,Total liabilities,15786236174085.0,VND,pdf
HSG,2021,28,Cash and cash equivalent,796782.0,VND,pdf
HSG,2021,29,Long-term debt,1413989572667.0,VND,pdf
HSG,2021,30,Current assets,5572266092.0,VND,pdf
HSG,2021,31,Current liabilities,14372246601418.0,VND,pdf
HSG,2021,32,Growth ratio,73.52,%,computed
HSG,2021,33,Total inventory,-6987119321159.0,VND,pdf
HSG,2021,37,"Net plant, property and equipment",1700044.0,VND,pdf
HSG,2021,38,Firm age,20.0,years,yahoo
HSG,2022,1,Managerial ownership,10.0,%,yahoo
HSG,2022,6,Total sales revenue and Net sales revenue,50090135318501.0,VND,pdf
HSG,2022,8,Selling expenses,3832642500065.0,VND,pdf
HSG,2022,9,General and administrative expenditure,201458245191.0,VND,pdf
HSG,2022,10,Value of intangible assets,86072.0,VND,pdf
HSG,2022,14,Merchandise purchase of the year,1548422592532.0,VND,pdf
HSG,2022,28,Cash and cash equivalent,81840974230.0,VND,pdf
HSG,2022,32,Growth ratio,2.8,%,computed
HSG,2022,33,Total inventory,4603003.0,VND,pdf
HSG,2022,37,"Net plant, property and equipment",1974982.0,VND,pdf
HSG,2022,38,Firm age,21.0,years,yahoo
HSG,2023,1,Managerial ownership,10.0,%,yahoo
HSG,2023,5,Total share outstanding,620982309.0,shares,yahoo
HSG,2023,6,Total sales revenue and Net sales revenue,50090135318501.0,VND,pdf
HSG,2023,8,Selling expenses,1794587785556.0,VND,pdf
HSG,2023,10,Value of intangible assets,84446.0,VND,pdf
HSG,2023,14,Merchandise purchase of the year,1200272872533.0,VND,pdf
HSG,2023,16,Outside manufacturing expenses,84859067464.0,VND,pdf
HSG,2023,17,Production cost,13603191775437.0,VND,pdf
HSG,2023,23,Market value of equity,13403447105881.828,VND,yahoo
HSG,2023,24,Total liabilities,1843192008584.0,VND,pdf
HSG,2023,28,Cash and cash equivalent,330134957719.0,VND,pdf
HSG,2023,30,Current assets,274839904924.0,VND,pdf
HSG,2023,32,Growth ratio,0.0,%,computed
HSG,2023,33,Total inventory,7628606120691.0,VND,pdf
HSG,2023,37,"Net plant, property and equipment",2800398.0,VND,pdf
HSG,2023,38,Firm age,22.0,years,yahoo
HSG,2024,1,Managerial ownership,10.0,%,yahoo
HSG,2024,5,Total share outstanding,620982309.0,shares,yahoo
HSG,2024,6,Total sales revenue and Net sales revenue,39271893738448.0,VND,pdf
HSG,2024,8,Selling expenses,-3344662264465.0,VND,pdf
HSG,2024,9,General and administrative expenditure,510613852948.0,VND,pdf
HSG,2024,12,Net operating income,510613852948.0,VND,pdf
HSG,2024,14,Merchandise purchase of the year,1165561520909.0,VND,pdf
HSG,2024,21,Net Income,4532690018178.0,VND,pdf
HSG,2024,22,Total shareholders' equity,10916937056537.0,VND,pdf
HSG,2024,23,Market value of equity,11282472326643.75,VND,yahoo
HSG,2024,25,Net cash from operating activities,1441.0,VND,pdf
HSG,2024,27,Cash flows from investing activities,-723627736383.0,VND,pdf
HSG,2024,28,Cash and cash equivalent,6905824.0,VND,pdf
HSG,2024,29,Long-term debt,16269912425.0,VND,pdf
HSG,2024,31,Current liabilities,6568894350227.0,VND,pdf
HSG,2024,32,Growth ratio,-21.6,%,computed
HSG,2024,33,Total inventory,4169.0,VND,pdf
HSG,2024,38,Firm age,23.0,years,yahoo
KDC,2020,1,Managerial ownership,10.0,%,yahoo
KDC,2020,5,Total share outstanding,289806316.0,shares,yahoo
