company_code,year,index_id,index_name,value,unit,source
NTP,2022,9,General and administrative expenditure,154378233969.0,VND,pdf
NTP,2022,14,Merchandise purchase of the year,134739453360.0,VND,pdf
NTP,2022,16,Outside manufacturing expenses,339607928567.0,VND,pdf
NTP,2022,21,Net Income,511900942783.0,VND,pdf
NTP,2022,22,Total shareholders' equity,2707977704900.0,VND,pdf
NTP,2022,24,Total liabilities,233019745258.0,VND,pdf
NTP,2022,28,Cash and cash equivalent,167926602716.0,VND,pdf
NTP,2022,29,Long-term debt,16720597523.0,VND,pdf
NTP,2022,30,Current assets,3075796747433.0,VND,pdf
NTP,2022,31,Current liabilities,233019745258.0,VND,pdf
NTP,2022,32,Growth ratio,20.94,%,computed
NTP,2022,37,"Net plant, property and equipment",933335000.0,VND,pdf
NTP,2022,38,Firm age,62.0,years,yahoo
NTP,2023,1,Managerial ownership,10.0,%,yahoo
NTP,2023,6,Total sales revenue and Net sales revenue,5685112416767.0,VND,pdf
NTP,2023,8,Selling expenses,655168766148.0,VND,pdf
NTP,2023,9,General and administrative expenditure,655168766148.0,VND,pdf
NTP,2023,10,Value of intangible assets,7105350000.0,VND,pdf
NTP,2023,12,Net operating income,655168766148.0,VND,pdf
NTP,2023,14,Merchandise purchase of the year,3619645131711.0,VND,pdf
NTP,2023,17,Production cost,3619645131711.0,VND,pdf
NTP,2023,21,Net Income,559414720517.0,VND,pdf
NTP,2023,22,Total shareholders' equity,3115499287.0,VND,pdf
NTP,2023,24,Total liabilities,2338199851626.0,VND,pdf
NTP,2023,28,Cash and cash equivalent,485324285487.0,VND,pdf
NTP,2023,30,Current assets,3501190530399.0,VND,pdf
NTP,2023,31,Current liabilities,338199851626.0,VND,pdf
NTP,2023,32,Growth ratio,-2.54,%,computed
NTP,2023,33,Total inventory,5084.0,VND,pdf
NTP,2023,35,EPS,559414720517.0,VND,pdf
NTP,2023,37,"Net plant, property and equipment",-71254910048.0,VND,pdf
NTP,2023,38,Firm age,63.0,years,yahoo
NTP,2024,1,Managerial ownership,10.0,%,yahoo
NTP,2024,6,Total sales revenue and Net sales revenue,5542221510296.0,VND,pdf
NTP,2024,8,Selling expenses,343753233664878.0,VND,pdf
